film,runtime,rating,metascore,director,star1,star2,star3,star4,no_votes
Sherlock Jr.,45 min,8.2,,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,41985
Portrait de la jeune fille en feu,122 min,8.1,95.0,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134
Pink,136 min,8.1,,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216
Koe no katachi,130 min,8.1,78.0,Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,47708
Contratiempo,106 min,8.1,,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,141516
Ah-ga-ssi,145 min,8.1,84.0,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,113649
Mommy,139 min,8.1,74.0,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700
Haider,160 min,8.1,,Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,50445
Logan,137 min,8.1,77.0,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884
Room,118 min,8.1,86.0,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538
Relatos salvajes,122 min,8.1,77.0,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059
Soul,100 min,8.1,83.0,Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,159171
Kis Uykusu,196 min,8.1,88.0,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,46547
PK,153 min,8.1,,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,163061
OMG: Oh My God!,125 min,8.1,,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,51739
The Grand Budapest Hotel,99 min,8.1,88.0,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630
Gone Girl,149 min,8.1,79.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695
Ôkami kodomo no Ame to Yuki,117 min,8.1,71.0,Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii,38803
Hacksaw Ridge,139 min,8.1,71.0,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,435928
Inside Out,95 min,8.1,94.0,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,616228
Barfi!,151 min,8.1,,Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,75721
12 Years a Slave,134 min,8.1,96.0,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,640533
Rush,123 min,8.1,74.0,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,432811
Ford v Ferrari,152 min,8.1,81.0,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289
Spotlight,129 min,8.1,93.0,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,420316
Song of the Sea,93 min,8.1,85.0,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,51679
Kahaani,122 min,8.1,,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,57806
Zindagi Na Milegi Dobara,155 min,8.1,,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,67927
Prisoners,153 min,8.1,70.0,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,601149
Mad Max: Fury Road,120 min,8.1,90.0,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,882316
A Wednesday,104 min,8.1,,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,73891
Gran Torino,116 min,8.1,72.0,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,720450
Harry Potter and the Deathly Hallows: Part 2,130 min,8.1,85.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,764493
Okuribito,130 min,8.1,68.0,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,48582
Hachi: A Dog's Tale,93 min,8.1,,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,253575
Mary and Max,92 min,8.1,,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,164462
How to Train Your Dragon,98 min,8.1,75.0,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773
Into the Wild,148 min,8.1,73.0,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,572921
No Country for Old Men,122 min,8.1,91.0,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,856916
Lage Raho Munna Bhai,144 min,8.1,,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,43137
Million Dollar Baby,132 min,8.1,86.0,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,635975
Hotel Rwanda,121 min,8.1,79.0,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,334320
Taegukgi hwinalrimyeo,140 min,8.1,64.0,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,37820
Before Sunset,80 min,8.1,90.0,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,236311
Munna Bhai M.B.B.S.,156 min,8.1,,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,73992
Salinui chueok,131 min,8.1,82.0,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,139558
Dil Chahta Hai,183 min,8.1,,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,66803
Kill Bill: Vol. 1,111 min,8.1,69.0,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,1000639
Finding Nemo,100 min,8.1,90.0,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,949565
Catch Me If You Can,141 min,8.1,75.0,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,832846
Amores perros,154 min,8.1,83.0,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,223741
"Monsters, Inc.",92 min,8.1,79.0,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,815505
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",87 min,8.1,,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,38847
Lagaan: Once Upon a Time in India,224 min,8.1,84.0,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,105036
The Sixth Sense,107 min,8.1,64.0,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,911573
La leggenda del pianista sull'oceano,169 min,8.1,58.0,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,59020
The Truman Show,103 min,8.1,90.0,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,939631
"Crna macka, beli macor",127 min,8.1,73.0,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,50862
The Big Lebowski,117 min,8.1,71.0,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,732620
Fa yeung nin wah,98 min,8.1,85.0,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,124383
Trainspotting,93 min,8.1,83.0,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,634716
Fargo,98 min,8.1,85.0,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,617444
Underground,170 min,8.1,,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,55220
La haine,98 min,8.1,,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,150345
Dilwale Dulhania Le Jayenge,189 min,8.1,,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,63516
Before Sunrise,101 min,8.1,77.0,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,272291
Trois couleurs: Rouge,99 min,8.1,100.0,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,90729
Chung Hing sam lam,102 min,8.1,77.0,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,63122
Jurassic Park,127 min,8.1,68.0,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,867615
In the Name of the Father,133 min,8.1,84.0,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,156842
Ba wang bie ji,171 min,8.1,,Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge,25088
Dà hóng denglong gaogao guà,125 min,8.1,,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao,29662
Dead Poets Society,128 min,8.1,79.0,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,425457
Stand by Me,89 min,8.1,75.0,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,363401
Platoon,120 min,8.1,92.0,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,381222
"Paris, Texas",145 min,8.1,78.0,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,91188
Kaze no tani no Naushika,117 min,8.1,86.0,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,150924
The Thing,109 min,8.1,57.0,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,371271
Pink Floyd: The Wall,95 min,8.1,47.0,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,76081
Fitzcarraldo,158 min,8.1,,Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,31595
Fanny och Alexander,188 min,8.1,100.0,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,57784
Blade Runner,117 min,8.1,84.0,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,693827
The Elephant Man,124 min,8.1,78.0,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,220078
Life of Brian,94 min,8.1,77.0,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,367250
The Deer Hunter,183 min,8.1,86.0,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,311361
Rocky,120 min,8.1,70.0,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,518546
Network,121 min,8.1,83.0,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,144911
Barry Lyndon,185 min,8.1,89.0,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,149843
Zerkalo,107 min,8.1,,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy,40081
Chinatown,130 min,8.1,92.0,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,294230
Paper Moon,102 min,8.1,77.0,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,42285
Viskningar och rop,91 min,8.1,,Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin,30206
Solaris,167 min,8.1,90.0,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,81021
Le samouraï,105 min,8.1,,Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,45434
Cool Hand Luke,127 min,8.1,92.0,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,161984
Persona,85 min,8.1,86.0,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,103191
Andrei Rublev,205 min,8.1,,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,46947
La battaglia di Algeri,121 min,8.1,96.0,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,53089
El ángel exterminador,95 min,8.1,,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,29682
What Ever Happened to Baby Jane?,134 min,8.1,75.0,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,50058
Sanjuro,96 min,8.1,,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,33044
The Man Who Shot Liberty Valance,123 min,8.1,94.0,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,68827
Ivanovo detstvo,95 min,8.1,,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,31728
Jungfrukällan,89 min,8.1,,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,26697
Inherit the Wind,128 min,8.1,75.0,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,27254
Les quatre cents coups,99 min,8.1,,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,105291
Ben-Hur,212 min,8.1,90.0,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,219466
Kakushi-toride no san-akunin,139 min,8.1,,Akira Kurosawa,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,34797
Le notti di Cabiria,110 min,8.1,,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,42940
Kumonosu-jô,110 min,8.1,,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura,46678
The Bridge on the River Kwai,161 min,8.1,87.0,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,203463
On the Waterfront,108 min,8.1,91.0,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,142107
Le salaire de la peur,131 min,8.1,85.0,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,54588
Ace in the Hole,111 min,8.1,72.0,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,31568
White Heat,114 min,8.1,,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,29807
The Third Man,104 min,8.1,97.0,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,158731
The Red Shoes,135 min,8.1,,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,30935
The Shop Around the Corner,99 min,8.1,96.0,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,28450
Rebecca,130 min,8.1,86.0,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942
Mr. Smith Goes to Washington,129 min,8.1,73.0,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,107017
Gone with the Wind,238 min,8.1,97.0,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,290074
La Grande Illusion,113 min,8.1,,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,33829
It Happened One Night,105 min,8.1,87.0,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,94016
La passion de Jeanne d'Arc,110 min,8.1,,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,47676
The Circus,72 min,8.1,90.0,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,30205
Sunrise: A Song of Two Humans,94 min,8.1,,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,46865
The General,67 min,8.1,,Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,81156
Das Cabinet des Dr. Caligari,76 min,8.1,,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover,57428
Badhaai ho,124 min,8.0,,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,27978
Togo,113 min,8.0,69.0,Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer,37556
Airlift,130 min,8.0,,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,52897
Bajrangi Bhaijaan,163 min,8.0,,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245
Baby,159 min,8.0,,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,52848
La La Land,128 min,8.0,94.0,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918
Lion,118 min,8.0,69.0,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970
The Martian,144 min,8.0,80.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094
Zootopia,108 min,8.0,78.0,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143
Bãhubali: The Beginning,159 min,8.0,,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972
Kaguyahime no monogatari,137 min,8.0,89.0,Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,38746
Wonder,113 min,8.0,66.0,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923
Gully Boy,154 min,8.0,65.0,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886
Special Chabbis,144 min,8.0,,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,51069
Short Term 12,96 min,8.0,82.0,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770
Serbuan maut 2: Berandal,150 min,8.0,71.0,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316
The Imitation Game,114 min,8.0,73.0,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201
Guardians of the Galaxy,121 min,8.0,76.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455
Blade Runner 2049,164 min,8.0,81.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823
Her,126 min,8.0,90.0,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772
Bohemian Rhapsody,134 min,8.0,49.0,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,450349
The Revenant,156 min,8.0,76.0,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,705589
The Perks of Being a Wallflower,103 min,8.0,67.0,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,462252
Tropa de Elite 2: O Inimigo Agora é Outro,115 min,8.0,71.0,José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,79200
The King's Speech,118 min,8.0,88.0,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,639603
The Help,146 min,8.0,62.0,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,428521
Deadpool,108 min,8.0,65.0,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,902669
Darbareye Elly,119 min,8.0,87.0,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,45803
Dev.D,144 min,8.0,,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,28749
Yip Man,106 min,8.0,59.0,Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam,211427
My Name Is Khan,165 min,8.0,50.0,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,98575
Nefes: Vatan Sagolsun,128 min,8.0,,Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,31838
Slumdog Millionaire,120 min,8.0,84.0,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,798882
Black Swan,108 min,8.0,79.0,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,699673
Tropa de Elite,115 min,8.0,33.0,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,98097
The Avengers,143 min,8.0,69.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1260806
Persepolis,96 min,8.0,90.0,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,88656
Dallas Buyers Club,117 min,8.0,80.0,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,441614
The Pursuit of Happyness,117 min,8.0,64.0,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,448930
Blood Diamond,143 min,8.0,64.0,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,499439
The Bourne Ultimatum,115 min,8.0,85.0,Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,604694
Bin-jip,88 min,8.0,72.0,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,50610
Sin City,124 min,8.0,74.0,Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,738512
Le scaphandre et le papillon,112 min,8.0,92.0,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,103284
G.O.R.A.,127 min,8.0,,Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,Ozan Güven,Safak Sezer,56960
Ratatouille,111 min,8.0,96.0,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,641645
Casino Royale,144 min,8.0,80.0,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,582239
Kill Bill: Vol. 2,137 min,8.0,83.0,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,683900
Vozvrashchenie,110 min,8.0,82.0,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina,42399
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,103 min,8.0,85.0,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,77520
Mar adentro,126 min,8.0,74.0,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554
Cinderella Man,144 min,8.0,69.0,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,176151
Kal Ho Naa Ho,186 min,8.0,54.0,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,63460
Mou gaan dou,101 min,8.0,75.0,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,117857
Pirates of the Caribbean: The Curse of the Black Pearl,143 min,8.0,63.0,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,1015122
Big Fish,125 min,8.0,58.0,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,415218
The Incredibles,115 min,8.0,90.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,657047
Yeopgijeogin geunyeo,137 min,8.0,,Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,In-mun Kim,Song Wok-suk,45403
Dogville,178 min,8.0,60.0,Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,137963
Vizontele,110 min,8.0,,Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli,33592
Donnie Darko,113 min,8.0,88.0,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,740086
Magnolia,188 min,8.0,77.0,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,289742
Dancer in the Dark,140 min,8.0,61.0,Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare,102285
The Straight Story,112 min,8.0,86.0,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,82002
Pâfekuto burû,81 min,8.0,,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,58192
Festen,105 min,8.0,82.0,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,78341
Central do Brasil,110 min,8.0,80.0,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,36419
The Iron Giant,86 min,8.0,85.0,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,172083
Knockin' on Heaven's Door,87 min,8.0,,Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,27721
Sling Blade,135 min,8.0,84.0,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,86838
Secrets & Lies,136 min,8.0,91.0,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,37564
Twelve Monkeys,129 min,8.0,74.0,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,578443
Kôkaku Kidôtai,83 min,8.0,76.0,Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,129231
The Nightmare Before Christmas,76 min,8.0,82.0,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,300208
Groundhog Day,101 min,8.0,72.0,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,577991
